Item content,honest.sd,faking.sd,persona_GPT3.5.sd,shape_GPT3.5.sd,persona_GPT4.sd,shape_GPT4.sd,persona_LLaMA3.sd,shape_LLaMA3.sd
1,1.1,0.95,0.54,1.26,0.34,1.02,0.98,1.44
2,1.09,0.79,0.51,1.16,0.24,1.03,1.06,1.39
3,1.12,0.86,0.52,1.11,0.24,1.18,0.87,1.44
4,0.92,0.62,0.64,1.15,0.55,1.28,0.9,1.4
5,1.16,1.01,0.3,1.05,0.19,0.92,1.09,1.39
6,1.07,0.95,0.54,1.01,0.13,1.14,1.17,1.56
7,1.13,0.87,0.63,1.07,0.14,1.07,0.99,1.48
8,0.88,0.68,0.63,1.21,0.44,1.22,1.21,1.47
9,1.08,0.72,0.28,0.93,0.18,0.95,0.77,1.12
10,1.06,0.68,0.31,1.21,0.3,1.17,0.91,1.54
11,1.1,1.01,0.42,1.22,0.37,1.13,0.89,1.37
12,1.19,0.71,0.91,1.27,0.84,1.34,0.83,1.62
13,1.06,0.83,0.69,1.29,0.56,1.05,1.09,1.44
14,1.04,0.88,0.58,1.23,0.42,1.15,1.25,1.51
15,1.14,0.97,0.42,0.97,0.17,0.84,0.85,1.11
16,1.11,0.8,0.45,1.18,0.28,0.98,1.09,1.41
17,1.13,0.93,0.75,1.09,0.24,1.11,0.97,1.31
18,1.07,0.88,0.6,1.01,0.35,0.93,0.96,1.38
19,0.92,0.7,0.43,1.22,0.17,0.95,0.59,1.41
20,0.97,0.69,0.67,1.36,0.3,1.4,1.22,1.63
21,1.08,0.67,0.31,0.82,0.35,1.27,0.97,1.37
22,1.07,0.83,0.68,1.08,0.49,1.06,1.36,1.38
23,1.15,0.96,0.64,1.26,0.17,1.11,1.15,1.43
24,1.12,1.05,0.18,0.98,0.33,1.14,0.98,1.37
25,1.27,1.15,0.44,1.13,0.28,0.95,1.27,1.46
26,1.04,0.64,0.88,1.58,0.55,1.29,1.29,1.45
27,1.04,0.8,0.37,1.19,0.23,1.16,1.16,1.47
28,0.64,0.56,0.51,1.06,0.35,1.22,0.7,1.31
29,1.14,1.04,0.91,1.14,0.39,1.01,1.38,1.55
30,1.15,0.95,0.91,0.98,0.22,0.88,0.93,1.4
31,1.12,0.89,0.34,0.9,0.2,0.69,1.06,1.25
32,0.88,0.63,0.89,1.3,0.57,1.23,1.19,1.48
33,0.94,0.71,0.8,1.14,0.27,1.19,0.88,1.36
34,1.04,0.84,0.42,1.09,0.41,1.13,1.3,1.48
35,1.13,0.87,0.53,0.97,0.37,1.14,1.09,1.35
36,0.99,0.61,0.88,1.41,1,1.31,0.47,1.5
37,1.17,1.03,0.84,1.33,0.49,1.14,1.33,1.56
38,0.96,0.67,0.86,1.15,0.43,1.28,0.87,1.48
39,0.93,0.81,0.49,0.93,0.14,1.18,1.08,1.5
40,1.07,0.85,0.71,1.26,0.46,1.11,1.05,1.48
41,1.08,0.9,0.68,1.18,0.23,1.11,0.97,1.45
42,1.12,0.92,0.76,1.26,0.29,0.96,1.16,1.43
43,0.77,0.68,0.67,1.16,0.31,1.07,0.78,1.36
44,0.93,0.59,0.57,1.08,0.4,1.39,0.95,1.51
45,1.09,0.96,0.19,0.86,0.13,0.97,1.11,1.42
46,0.94,0.57,0.83,1.36,0.5,1.28,1.08,1.55
47,0.93,0.84,0.51,1.18,0.48,1.26,0.96,1.4
48,0.92,0.82,0.94,0.81,0.62,0.82,0.83,1.22
49,1.2,1.06,0.55,1.19,0.26,0.96,1.03,1.27
50,1.19,0.79,0.23,1.22,0.17,0.99,1.2,1.4
51,0.97,0.9,0.41,0.95,0.47,0.9,0.88,1.31
52,1.04,0.65,0.21,0.89,0.41,1.13,0.83,1.33
53,1.13,0.98,0.61,1.34,0.34,0.97,0.7,1.39
54,0.94,0.73,0.5,1.04,0.21,1.29,1.19,1.52
55,1.19,1.06,0.59,1.16,0.24,0.91,1.17,1.46
56,0.99,0.59,0.53,1.29,0.23,1.3,0.86,1.5
57,0.94,0.77,0.55,1,0.13,1.21,0.95,1.42
58,1.04,0.85,0.55,1.15,0.34,1.19,1.26,1.44
59,1.28,1.01,0.33,1.14,0.24,0.93,0.99,1.35
60,1.12,0.65,0.45,0.8,0.77,0.91,0.99,1.37
61,0.94,0.82,0.62,0.87,0.42,1.21,1.12,1.31
62,0.9,0.8,0.79,0.99,0.59,1.12,1.06,1.39
63,1.02,0.68,0.6,1.09,0.21,1.26,1.05,1.64
64,1.09,0.82,0.8,1.36,0.62,1.21,1.51,1.51
65,1.01,0.84,0.49,1.29,0.26,1.21,1.21,1.48
66,1.16,0.91,0.86,1.3,0.37,1.08,1.18,1.6
67,1.09,0.9,0.64,0.91,0.53,0.9,1.18,1.35
68,0.99,0.69,0.76,0.96,0.42,1.07,1.15,1.43
69,0.95,0.74,0.31,0.82,0.27,1.06,0.59,1.02
70,1.02,0.64,0.55,1.09,0.27,1.16,1.26,1.5
71,1.04,0.86,0.58,1.11,0.32,1.16,0.9,1.37
72,1.01,0.75,0.45,1.23,0.15,1.07,1.13,1.62
73,0.98,0.88,0.59,1.24,0.36,0.81,1.28,1.58
74,1.11,0.65,0.49,1.15,0.29,1.07,1.05,1.41
75,1.1,0.87,0.46,0.9,0.2,1.01,0.94,1.36
76,1.23,0.66,0.72,1.26,0.9,1.37,0.94,1.38
77,1.13,1,0.62,0.81,0.25,1.07,1.15,1.33
78,1.09,0.98,1.08,1.19,0.61,0.89,0.69,1.25
79,1.07,0.88,0.53,1.06,0.08,0.79,0.74,0.87
80,0.95,0.56,1.06,1.61,0.86,1.54,1.1,1.68
81,0.99,0.94,0.54,1.16,0.25,1.29,0.99,1.49
82,1.19,1.06,0.54,1.13,0.3,1.13,0.96,1.43
83,0.97,0.89,0.38,1.16,0.26,0.91,1.09,1.34
84,1.08,0.58,0.39,1.46,0.98,1.43,0.71,1.54
85,1.16,1.03,0.5,0.78,0.54,0.91,1.38,1.16
86,1.11,0.95,0.37,0.83,0.27,1.01,1.11,1.22
87,1.03,0.8,0.79,0.97,0.16,0.97,1.04,1.34
88,1.02,0.79,0.43,1.31,0.43,1.25,0.71,1.44
89,1.12,0.86,0.35,1.08,0.26,0.98,1.17,1.44
90,1.17,0.96,0.72,1.24,0.31,0.99,1.09,1.53
91,1.06,0.92,0.54,1.14,0.1,0.83,0.96,1.34
92,1.01,0.67,0.74,1.35,0.35,1.4,1.24,1.6
93,1.11,0.78,0.48,1.01,0.16,1.14,0.98,1.54
94,1.02,0.67,0.47,1.03,0.4,1.22,1.08,1.2
95,1.08,0.86,0.49,1.18,0.26,1.08,0.9,1.38
96,1.05,0.73,0.51,1.24,0.38,1.14,1.32,1.63
97,0.75,0.63,0.73,1.22,0.51,1.21,0.85,1.36
98,0.85,0.67,0.79,1.29,0.33,1.18,1.03,1.48
